name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kostanay Kazakhstan,2020-12-17,-6.2,-13,-9.7,-14.4,-20.2,-17.5,-13.6,73.8,0,0,0,,0,10,41,32.4,192.5,1027.9,82.8,13.5,21.1,2,1,,2020-12-17T09:55:45,2020-12-17T17:27:51,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-18,-3,-13,-6.8,-7.4,-21.1,-13.4,-9,84.9,0,0,0,snow,0.1,10.2,39.6,32.4,205.9,1016.7,89.4,8.9,15,1.1,1,,2020-12-18T09:56:27,2020-12-18T17:28:08,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-19,-4,-18,-9.4,-4,-30.3,-16.3,-11.2,86.3,3.7,100,8.33,snow,1.1,11.7,54,39.6,14.3,1017.7,97.5,4.5,22.1,1.8,1,,2020-12-19T09:57:07,2020-12-19T17:28:29,0.15,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-20,-18.5,-26,-21.2,-18.9,-34.9,-30,-23.9,79,1.2,100,8.33,snow,0,10.1,50.4,32.4,339.1,1034.5,38.9,11.6,38.4,3.3,2,,2020-12-20T09:57:43,2020-12-20T17:28:54,0.18,"Snow, Partially cloudy",Clearing in the afternoon with snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-21,-14,-27,-19.6,-19.5,-36.2,-27.3,-23.5,71.5,0,0,0,snow,10,9.7,33.1,21.6,222.3,1036.2,34.8,13.5,35.6,3,2,,2020-12-21T09:58:15,2020-12-21T17:29:22,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-22,-6,-14.4,-10.1,-10.6,-22.4,-15.6,-13.4,76.8,0,0,0,,0,10,23.8,18,212.8,1029.1,96,11.2,22.6,1.9,1,,2020-12-22T09:58:44,2020-12-22T17:29:54,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-23,-4.2,-14,-7.4,-5.1,-19,-11.6,-9.5,85.2,0,0,0,,0,10,19.8,21.6,214,1023.7,59.4,12.4,30.1,2.6,2,,2020-12-23T09:59:09,2020-12-23T17:30:29,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-24,-2.9,-6,-4,-5.9,-9.9,-8.1,-6.2,84.9,0,0,0,,0,9.1,16.2,18,215.3,1022.1,84.9,11.2,13.6,1.3,1,,2020-12-24T09:59:31,2020-12-24T17:31:08,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-25,-6.2,-11,-8.7,-6.2,-16.7,-12.2,-10.4,87,0.7,100,4.17,snow,0.8,9.1,20.9,14.4,66.9,1027.6,100,8.2,18.4,1.4,1,,2020-12-25T09:59:49,2020-12-25T17:31:50,0.34,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-26,-7,-15,-10.1,-10.5,-21.5,-14.5,-11.8,87.8,0.6,100,8.33,snow,0,9.6,23,18,158.4,1033,96.5,9.5,34.5,3,2,,2020-12-26T10:00:04,2020-12-26T17:32:36,0.37,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"UAUU,28952099999"
